carat,cut,color,clarity,depth,table,price,x,y,z
0.45,Ideal,E,VVS2,61.9,56,1401,4.95,4.91,3.05
0.27,Ideal,E,VVS1,62.3,56,799,4.17,4.15,2.59
0.52,Premium,H,SI1,61.6,57,1138,5.2,5.15,3.19
1.01,Ideal,E,VVS1,62.2,57,10887,6.38,6.44,3.99
0.9,Very Good,H,SI1,62.8,57,3437,6.14,6.18,3.87
1.41,Ideal,H,VS1,60.7,56,9752,7.31,7.22,1.41
0.35,Premium,G,VVS1,61.8,57,1103,4.53,4.5,2.79
0.72,Ideal,E,VS1,62.6,57,3283,5.69,5.72,3.57
1.66,Ideal,H,IF,61.5,57,14724,7.59,7.62,4.68
0.71,Premium,D,SI1,61.3,58,2797,5.73,5.75,3.52
0.32,Very Good,D,SI1,63.5,55,756,4.35,4.31,2.75
0.3,Premium,D,SI1,62.5,59,520,4.26,4.22,2.65
1.05,Premium,E,SI2,59.5,59,4742,6.65,6.59,3.94
0.33,Ideal,G,VVS1,61.6,55,838,4.46,4.47,2.75
1.55,Premium,J,SI1,62.5,58,7502,7.36,7.4,4.61
0.83,Premium,D,SI1,59.7,59,3556,6.14,6.12,3.66
0.72,Premium,F,SI1,59.3,60,2030,5.91,5.86,3.49
0.8,Very Good,F,SI2,61.5,56,2652,5.93,5.98,3.66
0.71,Very Good,E,VVS1,62.8,59,4228,5.66,5.71,3.57
0.31,Premium,H,VVS2,62.4,59,625,4.31,4.35,2.7
1.02,Ideal,F,SI2,60.7,56,4541,6.53,6.5,3.95
0.3,Very Good,H,SI1,62.2,60,421,4.24,4.28,2.65
0.35,Ideal,G,SI1,61.8,55,503,4.54,4.56,2.81
0.52,Very Good,G,VS1,61.1,58,1689,5.16,5.19,3.16
0.51,Premium,E,VVS1,61.4,60,2323,5.11,5.05,3.12
0.33,Premium,E,SI1,60.7,57,743,4.47,4.43,2.7
0.51,Premium,F,VS1,60.7,59,1627,5.11,5.13,3.11
1.54,Premium,H,VS2,61.9,61,10758,7.41,7.33,4.56
0.71,Ideal,F,VVS1,61,56,5019,5.77,5.8,3.53
0.27,Ideal,G,VVS2,60.8,57,566,4.18,4.2,2.54
0.32,Good,E,VS1,64.3,59,638,4.28,4.34,2.77
0.41,Very Good,E,SI2,62.9,58,683,4.72,4.75,2.98
0.75,Good,G,SI2,63.9,62,2115,5.66,5.61,3.6
0.5,Premium,F,VS2,61.4,59,1736,5.12,5.1,3.14
0.67,Good,I,VS2,60.7,61.4,1708,5.6,5.64,3.41
0.5,Good,E,SI1,63.5,61,1279,4.98,5.03,3.18
0.38,Very Good,I,VS1,60.1,60,606,4.66,4.72,2.82
1.03,Premium,H,VS2,63,59,5364,6.47,6.36,4.04
0.71,Ideal,F,SI2,62.1,56,2637,5.75,5.7,3.56
0.55,Ideal,H,IF,62.3,54,1905,5.25,5.28,3.28
0.5,Ideal,G,VVS1,62.2,54,1883,5.1,5.13,3.18
0.32,Ideal,D,VS2,61.5,56,972,4.44,4.41,2.72
3,Fair,H,I1,67.1,57,8044,8.93,8.84,5.97
1.65,Premium,D,SI1,60.4,60,11310,7.63,7.58,4.59
1.28,Premium,G,VS2,61.4,58,8458,7,6.92,4.27
1,Very Good,G,SI1,59.3,63,4741,6.44,6.48,3.83
0.31,Very Good,H,VS2,63.2,58,628,4.33,4.31,2.73
0.52,Ideal,E,SI2,61,57,1412,5.18,5.21,3.17
1.22,Premium,G,VS2,61.2,58,7729,6.81,6.91,4.2
0.26,Very Good,F,VS2,62.9,59,453,4.04,4.07,2.55
1.51,Very Good,G,VS1,63.1,55,12603,7.34,7.3,4.62
1.01,Very Good,G,VS2,60.7,61,5759,6.42,6.46,3.91
0.31,Ideal,G,VVS1,62.8,57,977,4.33,4.3,2.71
0.26,Ideal,F,VVS1,61.6,57,599,4.08,4.1,2.52
1.55,Good,J,VS1,62.3,56,8076,7.44,7.52,4.66
0.3,Ideal,F,VVS1,62.2,53,857,4.3,4.32,2.68
1.51,Fair,D,SI2,64.7,57,9555,7.17,7.24,4.66
0.3,Premium,D,VS1,61.6,57,979,4.33,4.3,2.66
1.01,Very Good,D,I1,63.4,61,2291,6.38,6.3,4.02
0.42,Ideal,G,VS1,61.4,56,984,4.85,4.82,2.97
0.36,Premium,E,SI2,61.5,58,648,4.61,4.56,2.82
0.32,Very Good,G,VVS1,61.4,55,772,4.41,4.45,2.72
0.31,Very Good,G,SI1,63,56,462,4.3,4.34,2.72
0.63,Premium,E,VS1,60.5,57,3675,5.58,5.53,3.36
0.41,Ideal,G,VVS2,60.4,56,1076,4.83,4.8,2.91
0.3,Ideal,H,VVS1,62,55,684,4.3,4.34,2.68
1.55,Premium,I,SI2,61.5,58,7256,7.39,7.46,4.57
0.3,Ideal,I,IF,62,57,615,4.28,4.3,2.66
1.56,Premium,E,SI2,62.4,60,9909,7.36,7.41,4.61
0.9,Very Good,D,SI1,61.7,60,4466,6.14,6.17,3.8
0.32,Ideal,I,VS2,60.6,56,485,4.42,4.46,2.69
1.32,Premium,J,VS2,60.4,58,5800,7.11,7.14,4.3
2.01,Fair,H,SI2,65.3,56,10772,7.95,7.86,5.16
0.31,Ideal,I,SI1,62.7,56,523,4.34,4.3,2.71
0.91,Premium,G,VS1,60.9,54,4510,6.38,6.27,3.85
0.37,Very Good,E,VS1,62,56,925,4.59,4.63,2.86
0.38,Ideal,D,SI1,61.3,57,884,4.67,4.7,2.87
0.54,Ideal,G,VS2,61.7,56,1605,5.21,5.24,3.23
0.43,Ideal,H,SI1,62.4,56,919,4.83,4.81,3.01
1,Good,H,SI1,61.5,64,4568,6.38,6.41,3.93
0.7,Premium,E,VS2,60.2,60,2822,5.73,5.7,3.44
0.44,Premium,E,VS2,60.4,58,1003,4.87,4.93,2.96
0.31,Ideal,F,VVS2,60.2,55,814,4.43,4.45,2.67
1.12,Ideal,H,VVS2,62.3,53,7091,6.64,6.7,4.16
0.42,Premium,D,SI1,59.8,59,810,4.86,4.91,2.92
2.56,Premium,J,SI1,61.4,58,17186,8.76,8.73,5.37
0.67,Good,G,SI1,62.9,59,1811,5.58,5.62,3.52
1.51,Premium,H,SI2,62.1,58,7340,7.34,7.2,4.52
0.54,Ideal,G,VS2,61.9,57,1637,5.23,5.18,3.22
0.51,Ideal,F,VVS2,61.7,56,2098,5.14,5.16,3.18
0.25,Ideal,E,VVS2,61.7,56,705,4.05,4.07,2.5
0.41,Premium,E,VS1,62.3,59,1079,4.74,4.76,2.96
1,Premium,G,VS2,61.6,58,5940,6.39,6.43,3.95
0.36,Ideal,G,SI2,61.8,56,565,4.58,4.61,2.84
0.33,Ideal,I,VVS2,62.4,57,743,4.44,4.41,2.76
0.27,Very Good,E,VVS2,62,59,620,4.14,4.18,2.58
0.32,Ideal,D,VS2,61.5,56,758,4.39,4.42,2.71
0.92,Very Good,F,SI2,59.9,60,3625,6.26,6.29,3.76
0.39,Fair,E,SI1,65.6,60,601,4.5,4.56,2.97
2.01,Premium,J,VS2,60.5,60,13400,8.13,8.09,4.91
0.53,Premium,J,VS2,62.7,56,1093,5.18,5.15,3.24
0.71,Good,J,VS1,63.3,55,1881,5.62,5.66,3.57
0.33,Ideal,F,VS2,62.6,55,854,4.42,4.4,2.76
0.51,Ideal,E,VS1,61.5,53,1708,5.17,5.24,3.2
1.01,Ideal,E,SI1,59.8,60,5751,6.56,6.48,3.9
1.12,Ideal,I,SI1,62,56,4829,6.69,6.64,4.13
0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67
0.33,Premium,H,VS2,62.4,58,668,4.42,4.39,2.75
0.51,Ideal,F,VS2,62,56,1595,5.11,5.14,3.18
1.23,Very Good,H,SI1,62.3,58,6542,6.79,6.83,4.24
1.01,Very Good,E,VS2,64,56,6771,6.22,6.37,4.03
0.32,Ideal,F,VS2,62.5,56,828,4.4,4.37,2.74
0.54,Ideal,E,VVS2,61.9,54.5,2479,5.22,5.25,3.23
1,Ideal,F,SI1,62.7,57,5221,6.44,6.38,4.02
0.44,Premium,G,SI1,61,60,990,4.93,4.88,2.99
0.7,Premium,G,SI1,61.5,58,2010,5.69,5.76,3.52
0.32,Ideal,F,VS2,62.4,55,645,4.41,4.43,2.76
0.71,Premium,E,VS2,62.3,58,2817,5.69,5.65,3.53
0.3,Very Good,F,SI2,63.5,57,506,4.25,4.22,2.69
0.46,Good,E,SI1,62.7,58,967,4.87,4.92,3.07
1.01,Very Good,F,VS2,58.5,60,6037,6.52,6.54,3.82
1.57,Ideal,H,VS1,62.2,55,12810,7.44,7.49,4.64
2.23,Very Good,J,VS2,61,58,14732,8.36,8.39,5.11
1.03,Very Good,H,SI1,63.4,62,4406,6.46,6.27,4.05
0.32,Ideal,E,VS2,62,55,900,4.38,4.36,2.71
0.32,Ideal,F,VS2,61.9,55,602,4.41,4.45,2.74
0.32,Ideal,I,VVS1,61.7,55,756,4.4,4.39,2.71
1.14,Very Good,F,VVS2,63.3,56,8912,6.56,6.71,4.2
0.9,Good,G,I1,63.6,61,2344,6.07,6.03,3.85
1.57,Premium,H,VS1,59.8,60,11272,7.63,7.56,4.54
0.3,Ideal,F,VS2,62.9,57,776,4.29,4.27,2.69
0.7,Very Good,I,VS2,60.8,61,2360,5.72,5.76,3.49
1,Good,G,SI2,57.6,62,4113,6.62,6.55,3.79
1.5,Good,H,SI2,58.4,62,7714,7.44,7.49,4.36
0.7,Fair,G,SI1,68.4,58,1915,5.59,5.55,3.61
0.61,Ideal,E,VVS1,59.9,61,3212,5.5,5.55,3.31
1.22,Ideal,I,VS1,61.9,55.7,6469,6.81,6.84,4.23
0.31,Ideal,G,IF,62.6,57,924,4.3,4.32,2.7
1.01,Very Good,G,VS2,61.6,61,5759,6.36,6.46,3.95
0.54,Very Good,D,SI1,60,59.8,1593,5.3,5.34,3.18
1.01,Very Good,G,VS2,63,57,5919,6.35,6.42,4.02
0.5,Ideal,G,VVS1,62.7,57,2070,5.1,5.07,3.19
0.74,Ideal,G,VS2,62.9,54,2723,5.81,5.78,3.64
1.01,Good,F,VS2,64.2,54,5616,6.24,6.31,4.03
2.01,Very Good,H,SI2,63.4,60,11780,7.97,7.89,5.03
2.08,Ideal,H,SI1,61.7,58,17469,8.13,8.21,5.04
0.93,Good,G,SI1,63.8,58,4375,6.14,6.09,3.9
1.02,Ideal,H,VS2,62.4,57,5666,6.4,6.35,3.98
1.27,Fair,H,SI2,65.2,54,5334,6.78,6.71,4.41
1,Very Good,J,SI2,63.2,62,3293,6.32,6.27,3.98
0.34,Ideal,F,VS2,62.1,56,880,4.51,4.47,2.79
1.54,Good,I,VS1,63.6,60,10164,7.3,7.33,4.65
0.4,Ideal,F,VVS1,61.7,57,1446,4.74,4.7,2.91
0.58,Fair,E,VS1,57.9,56,2192,5.52,5.49,3.19
0.3,Ideal,D,VS2,62.5,55,710,4.3,4.31,2.69
1.02,Ideal,G,VS2,62.6,57,5922,6.43,6.41,4.02
0.3,Ideal,F,VVS1,61.8,54,802,4.33,4.37,2.69
1.77,Ideal,J,VS1,62.2,56,11150,7.77,7.73,4.82
0.35,Ideal,F,VS2,60.8,57,906,4.56,4.52,2.76
1.08,Good,E,SI1,58.4,60,5575,6.71,6.74,3.93
2.05,Ideal,E,SI1,62.4,57,18193,8.17,8.09,5.08
1.21,Very Good,H,VS1,62.3,58,7246,6.71,6.74,4.19
0.33,Ideal,F,VS2,61.6,56,666,4.44,4.46,2.74
0.31,Ideal,E,IF,61,57,1319,4.36,4.39,2.67
0.99,Very Good,J,SI1,60.3,57,4002,6.44,6.49,3.9
1,Fair,E,VS1,64.4,55,7392,6.33,6.3,4.07
0.73,Ideal,D,SI1,61.4,56,2995,5.78,5.82,3.56
0.51,Premium,E,VS2,60.6,60,1614,5.2,5.19,3.15
0.38,Ideal,I,VS1,62.3,55,703,4.63,4.66,2.89
1.6,Premium,G,SI1,62.2,58,11818,7.44,7.5,4.65
1.91,Premium,I,SI1,60.9,53,13367,8.11,8.07,4.93
0.32,Ideal,G,SI1,61.3,57,612,4.4,4.37,2.69
0.59,Ideal,E,VVS2,61.8,57,3026,5.35,5.4,3.32
0.32,Ideal,E,VS2,62.9,56,900,4.39,4.36,2.75
0.56,Ideal,H,VS2,61.7,54,1427,5.31,5.33,3.28
0.35,Premium,F,VS2,61.9,58,706,4.48,4.54,2.79
0.5,Ideal,E,SI1,61.8,56,1617,5.11,5.07,3.14
0.4,Ideal,G,IF,61.8,55,1239,4.75,4.79,2.95
0.4,Ideal,H,SI1,62.2,55,1031,4.72,4.76,2.95
0.9,Premium,H,VVS2,62.4,58,4657,6.15,6.12,3.83
0.81,Premium,G,VS2,62.9,58,3193,5.94,5.88,3.72
0.45,Premium,G,VVS2,61.4,61,1181,4.95,4.89,3.02
1.11,Premium,E,SI2,62.6,59,5152,6.71,6.65,4.18
0.74,Ideal,F,VS1,62.3,56,3170,5.79,5.76,3.6
2.38,Premium,J,SI2,60.6,59,10716,8.66,8.63,5.24
1.01,Fair,D,SI1,66.9,54,4751,6.25,6.21,4.17
2,Premium,H,SI2,59.7,61,15451,8.2,8.15,4.88
1.06,Ideal,H,VS2,60.5,57,5669,6.63,6.6,4
0.51,Ideal,G,VS1,62.5,57,1577,5.08,5.1,3.18
0.4,Ideal,H,VVS1,62,54,1017,4.72,4.76,2.94
0.53,Premium,J,VS2,60.9,59,1122,5.27,5.2,3.19
1.7,Premium,D,SI1,61.9,59,15238,7.64,7.61,4.72
1.19,Good,E,VS2,57.4,60,7064,7,6.9,3.99
1.54,Premium,H,VS2,61.9,59,11769,7.33,7.31,4.53
1.3,Good,J,SI1,64,58,5242,6.91,6.84,4.4
0.72,Ideal,G,VS1,62,56,3540,5.74,5.78,3.57
1.16,Premium,F,VS2,62.7,58,7003,6.71,6.65,4.19
0.8,Ideal,G,SI2,62.5,55,2893,5.89,5.92,3.69
1.8,Ideal,I,VS1,62.4,54,14959,7.77,7.8,4.86
1.06,Ideal,F,SI1,61.7,55.1,6249,6.56,6.58,4.06
0.32,Good,D,SI2,64.1,54,571,4.37,4.34,2.79
1.56,Premium,G,VS1,60.2,60,13079,7.47,7.52,4.51
0.34,Premium,H,VS2,60.2,60,689,4.56,4.51,2.73
0.47,Ideal,G,IF,62.1,54,1814,4.99,5.02,3.11
0.31,Ideal,F,VS2,62.6,57,802,4.33,4.29,2.7
0.52,Ideal,D,VS2,62.3,56,1822,5.11,5.16,3.2
0.4,Good,E,SI2,63.2,57,666,4.66,4.68,2.95
0.6,Very Good,G,SI1,63.5,59.9,1565,5.28,5.3,3.36
1.53,Premium,J,SI1,60.1,59,6126,7.52,7.5,4.51
0.24,Ideal,G,SI1,62.2,54,364,3.97,4,2.48
1.11,Very Good,H,SI2,61.5,59,4029,6.56,6.61,4.05
0.41,Very Good,E,VVS2,62.8,54,1187,4.72,4.77,2.98
1,Very Good,H,VVS2,60.3,59,5929,6.41,6.46,3.88
0.58,Very Good,G,VVS2,59.1,59.6,2021,5.39,5.42,3.19
1.16,Ideal,D,SI1,62,56,5911,6.76,6.73,4.18
0.5,Ideal,E,SI1,61.9,60,1337,5.06,5.09,3.14
0.51,Ideal,E,VS2,61.5,57,1656,5.09,5.12,3.14
0.31,Good,H,VVS1,63.7,56,786,4.33,4.3,2.75
0.77,Ideal,G,VS2,62.1,56,3114,5.85,5.88,3.64
1.97,Premium,H,VS2,62.9,59,17535,8.01,7.9,5
1.2,Premium,D,SI2,62,58,5551,6.84,6.77,4.22
1.26,Ideal,J,VVS1,61.4,60,6186,6.92,6.95,4.26
0.4,Ideal,E,SI1,61.2,57,737,4.7,4.74,2.89
0.4,Ideal,D,VVS2,61.3,56,1323,4.78,4.75,2.92
1.12,Ideal,D,VS2,62,55,8279,6.63,6.66,4.12
0.33,Ideal,F,VS2,60.9,56,619,4.47,4.49,2.73
1,Premium,J,SI1,62.7,57,3416,6.4,6.33,3.99
1.09,Very Good,F,SI2,63.2,58,4853,6.54,6.49,4.12
0.79,Very Good,F,VS1,58.6,57,3398,6.08,6.14,3.58
0.42,Very Good,D,SI1,63,57,756,4.77,4.81,3.02
0.58,Premium,G,SI2,61.2,59,1307,5.4,5.36,3.29
1.5,Very Good,E,VS2,59.5,58,14592,7.44,7.48,4.44
0.24,Very Good,D,VS2,60.2,59,419,4.03,4.04,2.43
1.01,Ideal,F,VS1,61.1,59,7870,6.46,6.5,3.96
1.04,Very Good,F,SI2,63.2,58,4013,6.39,6.34,4.02
0.77,Premium,E,SI1,60.9,58,2896,5.94,5.88,3.6
1.54,Premium,G,VS2,61.6,59,12308,7.46,7.4,4.58
0.76,Very Good,J,VS1,59.3,63,2036,6.12,5.93,3.55
0.32,Ideal,F,VVS2,61.6,55,945,4.41,4.42,2.72
0.78,Ideal,D,VS2,61.9,56,3763,5.88,5.94,3.66
0.51,Ideal,G,VVS2,61.6,56,1842,5.14,5.12,3.16
0.52,Very Good,G,VS2,61.9,59,1408,5.12,5.16,3.18
1.51,Ideal,G,VS1,60.6,57,14375,7.38,7.48,4.5
2.18,Ideal,I,SI2,61.4,60,14870,8.37,8.31,5.12
0.71,Ideal,I,VS1,61.5,55,2525,5.73,5.78,3.54
0.91,Premium,F,SI2,60.8,59,3845,6.28,6.25,3.81
0.43,Ideal,E,VS2,62.8,56,1048,4.86,4.79,3.03
0.7,Ideal,F,VVS2,62,57,3160,5.68,5.74,3.54
2.02,Premium,H,VS2,62.7,53,18207,8.02,7.95,0
1.18,Premium,G,VVS2,58.2,62,9188,6.92,6.89,4.02
1.01,Premium,H,SI2,61.9,60,4242,6.43,6.4,3.97
1.07,Ideal,F,SI2,61.6,56,4954,0,6.62,0
0.3,Premium,G,VVS2,62,60,684,4.25,4.33,2.66
1.5,Good,J,VS1,63.3,57,8736,7.2,7.24,4.57
1.01,Premium,G,VS2,61.8,59,5946,6.45,6.4,3.97
0.37,Ideal,G,SI1,62,55,586,4.62,4.64,2.87
1.52,Ideal,F,VS2,62.8,55,14038,7.37,7.28,4.6
0.71,Good,E,SI1,63.1,59,2420,5.62,5.75,3.59
0.35,Ideal,G,IF,61.1,56,1044,4.54,4.59,2.79
0.32,Ideal,F,VVS2,62.1,55,800,4.37,4.39,2.72
0.52,Premium,G,VVS2,61.1,59,2012,5.2,5.15,3.16
0.34,Premium,I,SI1,60.2,59,447,4.52,4.55,2.73
0.31,Ideal,D,SI1,61.8,57,571,4.32,4.36,2.68
0.52,Very Good,H,VS1,63.5,58,1572,5.08,5.13,3.24
1.5,Premium,H,SI2,62.3,60,8645,7.3,7.22,4.52
1.21,Premium,G,VS1,59.5,58,8456,7.01,6.97,4.16
0.3,Very Good,G,VVS1,60.7,56,725,4.32,4.35,2.63
1,Good,G,VS2,62.9,56,5544,6.33,6.39,4
0.3,Ideal,H,VVS2,62.1,55,590,4.33,4.36,2.7
1.23,Very Good,D,SI2,62.3,58,6710,6.78,6.81,4.23
1.14,Ideal,F,VVS1,62.2,56,11844,6.69,6.67,4.16
1.27,Ideal,J,VS2,61.6,56.1,5606,6.94,7,4.29
1.23,Good,D,I1,63.7,58,4050,6.79,6.72,4.3
0.35,Ideal,D,VVS1,60.6,56,1330,4.58,4.59,2.78
0.91,Good,E,SI1,63.1,58,4512,6.12,6.17,3.88
1.01,Ideal,H,SI1,62.6,55,4836,6.43,6.39,4.01
1.13,Premium,J,SI2,59.7,59,4093,6.85,6.76,4.06
0.93,Ideal,I,SI2,62.3,57,3047,6.22,6.2,3.87
1.51,Premium,H,SI1,61.3,60,10012,7.33,7.29,4.48
0.58,Ideal,E,VVS2,62.1,56,2529,5.33,5.36,3.32
0.25,Good,E,VVS2,61.2,62,505,4.04,4.07,2.48
1.02,Ideal,G,I1,61.5,56,3321,6.46,6.49,3.98
0.59,Ideal,I,VS2,62,54,1300,5.4,5.43,3.36
0.31,Premium,E,VS1,61,60,816,4.37,4.35,2.66
0.54,Premium,F,VS1,60,59,1770,5.3,5.23,3.16
1.05,Ideal,F,SI1,62,55,5557,6.54,6.5,4.04
0.29,Very Good,E,VVS1,58.9,59,664,4.33,4.4,2.57
0.9,Premium,H,VS1,62.4,58,4309,6.15,6.19,3.85
1.51,Premium,E,VS2,59.8,58,14482,7.55,7.52,4.47
1.01,Premium,G,VS2,61.6,58,6027,6.45,6.4,3.96
0.41,Ideal,E,SI2,61.8,54,625,4.78,4.8,2.96
0.38,Very Good,H,VVS1,60,57,975,4.75,4.79,2.86
0.71,Ideal,D,VS2,60.1,56,4029,5.77,5.83,3.48
1.62,Ideal,I,SI2,62.2,57,8220,7.51,7.57,4.69
0.56,Ideal,F,VVS1,62.1,56,2510,5.29,5.3,3.29
1.5,Very Good,J,VVS2,63.3,57,8427,7.28,7.25,4.6
1.01,Fair,H,VS1,67.1,59,3676,6.16,6.09,4.11
2.06,Premium,H,SI2,62.6,58,12931,8.06,8.03,5.04
2.12,Ideal,H,SI2,62.4,57,16466,8.19,8.16,5.1
1.05,Fair,F,SI2,66,60,3615,6.3,6.22,4.13
0.45,Premium,F,VS1,62.1,59,1229,4.85,4.81,3
0.78,Very Good,G,SI1,63.3,56,2721,5.83,5.86,3.7
0.32,Premium,G,VVS2,62.3,54,936,4.45,4.38,2.75
0.51,Premium,E,SI1,60.3,56,1443,5.27,5.17,3.15
0.51,Premium,D,SI2,60.2,58,1109,5.24,5.2,3.14
1.24,Very Good,I,VS2,60.1,59,5783,6.95,7.02,4.2
0.41,Premium,G,VS2,60.8,59,827,4.78,4.8,2.91
0.71,Ideal,D,VS1,60.9,58,3716,5.72,5.78,3.5
0.7,Good,D,SI2,59.3,64,2312,5.8,5.76,3.43
0.34,Very Good,G,VVS2,60.4,57,713,4.53,4.56,2.74
0.5,Premium,D,SI1,62.1,58,1654,5.1,5.07,3.16
1.02,Premium,G,VVS1,58,61,8768,6.67,6.58,3.84
0.9,Very Good,G,SI2,63.4,59,3246,6.08,6.04,3.84
0.9,Good,H,SI1,64.2,60,2974,6.05,6.02,3.87
0.57,Premium,I,VS1,61.6,58,1212,5.33,5.28,3.27
0.44,Ideal,D,VS1,62.3,55,1235,4.85,4.88,3.03
0.83,Ideal,H,SI2,61.1,59,2666,6.05,6.1,3.71
0.36,Ideal,D,SI2,62.3,57,537,4.52,4.57,2.83
0.31,Ideal,G,IF,61.6,56,891,4.38,4.42,2.71
1.06,Premium,G,SI1,62.2,57,5113,6.53,6.47,4.04
1,Good,D,SI1,64.2,56,5642,6.23,6.29,4.02
0.35,Premium,I,VS1,61.8,58,709,4.53,4.5,2.79
0.31,Good,E,SI1,63.1,54,544,4.31,4.34,2.73
0.71,Premium,E,VS1,59.7,57,2920,5.87,5.78,3.48
1.02,Premium,E,SI1,61.5,58,5278,6.51,6.46,3.99
0.3,Premium,G,VS2,60.8,61,675,4.34,4.31,2.63
1.02,Very Good,D,SI2,62.8,55,4964,6.38,6.46,4.03
0.35,Very Good,E,VS1,62.3,60,829,4.5,4.52,2.81
1.7,Very Good,I,VS2,63,58,10935,7.52,7.65,4.78
0.62,Premium,G,I1,58.9,60,933,5.65,5.54,3.29
0.93,Very Good,F,I1,61.3,59,2374,6.22,6.27,3.83
1.16,Ideal,I,VS2,60.8,56,5587,6.85,6.81,4.15
0.74,Very Good,G,SI2,63.3,57,2398,5.73,5.7,3.62
